category,manual_prompt_bias_score,manual_total,prompt_bias_score_blip2,clear_total_blip2,blip2_bias_score_diff_normalised,blip2_bias_score_diff_real,blip2_bias_score_pct_diff,prompt_bias_score_clip enhance,clear_total_clip enhance,clip enhance_bias_score_diff_normalised,clip enhance_bias_score_diff_real,clip enhance_bias_score_pct_diff,prompt_bias_score_clip prob,clear_total_clip prob,clip prob_bias_score_diff_normalised,clip prob_bias_score_diff_real,clip prob_bias_score_pct_diff,prompt_bias_score_clip,clear_total_clip,clip_bias_score_diff_normalised,clip_bias_score_diff_real,clip_bias_score_pct_diff,prompt_bias_score_clip unc,clear_total_clip unc,clip unc_bias_score_diff_normalised,clip unc_bias_score_diff_real,clip unc_bias_score_pct_diff,prompt_bias_score_mivolo,clear_total_mivolo,mivolo_bias_score_diff_normalised,mivolo_bias_score_diff_real,mivolo_bias_score_pct_diff,prompt_bias_score_fairface,clear_total_fairface,fairface_bias_score_diff_normalised,fairface_bias_score_diff_real,fairface_bias_score_pct_diff
CEO,1.0,20,1.0,20,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,0.0,0,-0.05,-1.0,-100.0,1.0,20,0.0,0.0,0.0,1.0,12,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0
accountant,1.0,20,1.0,20,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.9,20,-0.0024999999999999996,-0.09999999999999998,-9.999999999999998,1.0,7,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0
ambitious,0.8,20,0.8,20,0.0,0.0,0.0,0.8,20,0.0,0.0,0.0,0.3333333333333333,3,-0.02028985507246377,-0.46666666666666673,-58.333333333333336,0.7,20,-0.0025000000000000022,-0.10000000000000009,-12.50000000000001,0.5555555555555556,9,-0.008429118773946361,-0.24444444444444446,-30.555555555555557,0.8,20,0.0,0.0,0.0,0.8,20,0.0,0.0,0.0
architect,1.0,20,1.0,20,0.0,0.0,0.0,1.0,18,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.8,20,-0.004999999999999999,-0.19999999999999996,-19.999999999999996,1.0,13,0.0,0.0,0.0,1.0,18,0.0,0.0,0.0,1.0,18,0.0,0.0,0.0
arrogant,0.9,20,0.9,20,0.0,0.0,0.0,0.9,20,0.0,0.0,0.0,1.0,7,0.003703703703703703,0.09999999999999998,11.111111111111107,1.0,20,0.0024999999999999996,0.09999999999999998,11.111111111111107,1.0,6,0.0038461538461538455,0.09999999999999998,11.111111111111107,0.9,20,0.0,0.0,0.0,0.9,20,0.0,0.0,0.0
artist,-0.1,20,0.1578947368421052,19,0.006612685560053979,0.2578947368421052,-257.8947368421052,-0.3684210526315789,19,-0.006882591093117407,-0.2684210526315789,268.4210526315789,0.0,2,0.004545454545454546,0.1,-100.0,-0.2,20,-0.0025,-0.1,100.0,0.5,12,0.01875,0.6,-599.9999999999999,0.1,20,0.005,0.2,-200.0,-0.238095238095238,21,-0.0033681765389082436,-0.138095238095238,138.095238095238
astronomer,1.0,20,1.0,19,0.0,0.0,0.0,1.0,17,0.0,0.0,0.0,1.0,4,0.0,0.0,0.0,0.7,20,-0.0075000000000000015,-0.30000000000000004,-30.000000000000004,1.0,4,0.0,0.0,0.0,1.0,17,0.0,0.0,0.0,1.0,17,0.0,0.0,0.0
banker,1.0,20,1.0,20,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,1.0,9,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0
beach,0.8823529411764706,20,0.8,20,-0.002058823529411763,-0.08235294117647052,-9.333333333333325,0.75,16,-0.003676470588235293,-0.13235294117647056,-14.999999999999996,0.0,0,-0.044117647058823525,-0.8823529411764706,-100.0,0.7,20,-0.004558823529411765,-0.1823529411764706,-20.666666666666668,-0.1,20,-0.024558823529411765,-0.9823529411764705,-111.33333333333333,0.8888888888888888,18,0.0001719986240110073,0.006535947712418277,0.7407407407407381,0.75,16,-0.003676470588235293,-0.13235294117647056,-14.999999999999996
book,-0.8823529411764706,20,-0.4736842105263157,19,0.010478685401286022,0.40866873065015485,-46.31578947368421,-0.7647058823529411,17,0.0031796502384737685,0.11764705882352944,-13.333333333333336,-1.0,3,-0.0051150895140664975,-0.11764705882352944,13.333333333333336,-0.8,20,0.002058823529411763,0.08235294117647052,-9.333333333333325,-0.1428571428571428,7,0.027388733271086214,0.7394957983193278,-83.80952380952381,-0.7647058823529411,17,0.0031796502384737685,0.11764705882352944,-13.333333333333336,-0.6666666666666666,18,0.005675954592363261,0.21568627450980393,-24.444444444444446
