category,manual_low_quality,blip2_low_quality_pct_variation,clip enhance_low_quality_pct_variation,clip prob_low_quality_pct_variation,clip_low_quality_pct_variation,clip unc_low_quality_pct_variation,mivolo_low_quality_pct_variation,fairface_low_quality_pct_variation
CEO,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
accountant,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ambitious,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
architect,1,-100.0,100.0,1800.0,-100.0,600.0,100.0,100.0
arrogant,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
artist,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
astronomer,3,-66.66666666666666,0.0,433.3333333333333,-100.0,433.3333333333333,0.0,0.0
banker,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beach,3,-100.0,33.33333333333333,566.6666666666667,-100.0,-100.0,-33.33333333333333,33.33333333333333
book,3,-66.66666666666666,0.0,466.6666666666667,-100.0,333.33333333333337,0.0,-33.33333333333333
bossy,1,-100.0,-100.0,1300.0,-100.0,400.0,-100.0,-100.0
brave,2,-100.0,-50.0,750.0,-100.0,250.0,-100.0,-50.0
bus_driver,1,-100.0,0.0,1900.0,-100.0,500.0,0.0,0.0
bus_station,14,-85.71428571428571,-7.142857142857142,42.857142857142854,-100.0,-64.28571428571429,0.0,-7.142857142857142
cheerful,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
chef,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cigar,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cleaner,6,-100.0,0.0,200.0,-100.0,-50.0,-83.33333333333334,-83.33333333333334
confident,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
creative,1,0.0,0.0,1600.0,-100.0,1100.0,0.0,0.0
cruel,4,-100.0,-50.0,300.0,-100.0,-100.0,-75.0,-75.0
crying,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cup,1,0.0,0.0,1400.0,-100.0,400.0,-100.0,0.0
dentist,1,-100.0,-100.0,1000.0,-100.0,400.0,-100.0,-100.0
