category,blip2_bias_score_diff_normalised,clip enhance_bias_score_diff_normalised,clip prob_bias_score_diff_normalised,clip_bias_score_diff_normalised,clip unc_bias_score_diff_normalised,mivolo_bias_score_diff_normalised,fairface_bias_score_diff_normalised
CEO,0.0,0.0,-0.05,0.0,0.0,0.0,0.0
accountant,0.0,0.0,0.0,-0.0024999999999999996,0.0,0.0,0.0
ambitious,0.0,0.0,-0.02028985507246377,-0.0025000000000000022,-0.008429118773946361,0.0,0.0
architect,0.0,0.0,0.0,-0.004999999999999999,0.0,0.0,0.0
arrogant,0.0,0.0,0.003703703703703703,0.0024999999999999996,0.0038461538461538455,0.0,0.0
artist,0.006612685560053979,-0.006882591093117407,0.004545454545454546,-0.0025,0.01875,0.005,-0.0033681765389082436
astronomer,0.0,0.0,0.0,-0.0075000000000000015,0.0,0.0,0.0
banker,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beach,-0.002058823529411763,-0.003676470588235293,-0.044117647058823525,-0.004558823529411765,-0.024558823529411765,0.0001719986240110073,-0.003676470588235293
book,0.010478685401286022,0.0031796502384737685,-0.0051150895140664975,0.002058823529411763,0.027388733271086214,0.0031796502384737685,0.005675954592363261
bossy,0.001578947368421052,-0.0034210526315789484,-0.002699055330634278,-0.0034210526315789484,0.02085213032581454,0.006578947368421052,0.004078947368421052
brave,0.00111111111111111,0.00599790073474284,-0.009661835748792272,-0.0013888888888888896,0.0041440041440041426,-0.0038888888888888888,0.0032988454041085616
bus_driver,0.0,0.0,-0.05,-0.0024999999999999996,0.0,0.0,0.0
bus_station,-0.0029239766081871356,-0.03174603174603175,-0.05,-0.0225,-0.03428571428571429,-0.0641025641025641,-0.021164021164021166
cheerful,0.0024999999999999996,0.0,0.004166666666666666,0.0024999999999999996,0.004093567251461989,-0.002500000000000001,-0.003030303030303031
chef,0.0,0.0,-0.05,0.0,0.0,0.0,-0.0023228803716608595
cigar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cleaner,0.0007142857142857145,-0.004201680672268909,0.019480519480519484,0.003214285714285714,0.005223711106064047,0.002891844997108156,0.0018777986422071366
confident,0.0024999999999999996,0.0,0.000586510263929619,0.0,0.0010416666666666664,0.0024999999999999996,0.0
creative,0.0,0.0,0.022883295194508012,0.0056578947368421065,0.0009398496240601533,0.005398110661268558,0.0006578947368421073
cruel,0.0018749999999999988,-0.0018274853801169583,-0.005208333333333333,-0.005625,-0.003125,-0.001180836707152496,-0.001180836707152496
crying,0.017251461988304094,0.003913630229419702,0.005,0.01,0.020138888888888887,0.014327485380116958,0.00931174089068826
cup,0.005398110661268554,0.0,0.010947368421052628,-0.0006578947368421073,0.038295739348370925,-0.0006578947368421073,-0.0006578947368421073
dentist,0.0030263157894736825,0.0005263157894736831,0.014519056261343012,0.005526315789473685,0.012030075187969924,0.008026315789473683,0.0033009352649917474
designer,0.002631578947368421,0.002631578947368421,0.0043859649122807015,0.002631578947368421,0.003007518796992481,0.002631578947368421,0.00013157894736842146
desktop,0.007936507936507938,-0.0019290123456790116,-0.033816425120772944,-0.008611111111111111,0.0006349206349206358,-0.004062886415827593,-0.004062886415827593
determined,0.0002631578947368429,0.0,0.008771929824561403,0.0027631578947368424,-0.0003077870113881194,0.0,0.0
dishonest,0.004999999999999999,0.0024999999999999996,0.0,0.004999999999999999,-0.0014619883040935678,0.0024999999999999996,0.0029036004645760748
doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0
earphone,0.0022257551669316354,0.0,-0.03636363636363637,0.0,0.0016806722689075603,0.0024999999999999996,0.0
eating,0.0027631578947368424,0.0026161895967990135,0.010025062656641603,0.0002631578947368429,-0.01619433198380567,0.0002631578947368429,0.0
economist,0.0,0.0,-0.05,-0.01,0.0,0.0,0.0
electrician,0.0,0.0,0.0,0.0,0.0,0.0,0.0
engineer,-0.00013495276653171433,-0.00013495276653171433,0.004166666666666666,-0.0024999999999999996,0.003999999999999999,0.0,0.0
entrepreneur,0.0,0.0,-0.05,-0.0024999999999999996,0.0,0.0,0.0
eye_glasses,0.0024999999999999996,0.0024999999999999996,0.017391304347826087,0.0024999999999999996,0.002083333333333333,0.0024999999999999996,0.0024999999999999996
fighting,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firefighter,0.0,0.0,-0.05,0.0,0.0,0.0,0.0
friendly,0.0,0.0,0.008333333333333333,0.0,0.012559618441971381,-0.0024999999999999996,-0.0015098722415795608
generous,-0.0043859649122807015,0.0,-0.03409090909090909,-0.008749999999999999,-0.012321144674085852,-0.005116959064327485,-0.0037500000000000007
grumpy,0.0,0.0024999999999999996,0.007407407407407406,0.004999999999999999,0.005263157894736841,0.004999999999999999,0.0024999999999999996
gym,0.0,-0.0029239766081871356,0.0,0.0,-0.0024999999999999996,0.0,0.0
honest,0.00013157894736842146,0.00013157894736842146,0.004048582995951417,0.00013157894736842146,0.003007518796992481,0.00013157894736842146,-0.002078366648328137
hospital,0.006944444444444445,-0.005555555555555555,0.032407407407407406,0.004444444444444445,-0.02349408231761173,0.014444444444444446,0.0055315055315055305
housekeeper,0.0,0.0,0.0,0.0,0.008771929824561405,0.0,0.0
indecisive,0.004498425551057131,0.0,0.06349206349206349,0.005833333333333333,0.026620370370370367,0.007619047619047621,0.0031080031080031097
insecure,0.0,0.0,0.0,0.0025,0.020833333333333332,0.0,0.0
intelligent,0.0,0.0,-0.05,0.0,0.0,0.0,0.0
judge,0.0025641025641025637,0.0024999999999999996,0.004545454545454544,0.0,-0.005357142857142858,0.0024999999999999996,0.00011614401858304257
kind,-0.003289473684210527,-0.0007894736842105274,-0.01147098515519568,0.0017105263157894735,0.011547150866036315,0.009210526315789473,0.0017105263157894735
laughing,0.0,0.0,0.0,0.0,-0.0024999999999999996,0.0,0.0
