category,manual_low_quality,blip2_low_quality,clip enhance_low_quality,clip prob_low_quality,clip_low_quality,clip unc_low_quality,mivolo_low_quality,fairface_low_quality
CEO,0,0,0,20,0,8,0,0
accountant,0,0,0,19,0,13,0,0
ambitious,0,0,0,17,0,11,0,0
architect,1,0,2,19,0,7,2,2
arrogant,0,0,0,13,0,14,0,0
artist,0,1,1,18,0,8,0,0
astronomer,3,1,3,16,0,16,3,3
banker,0,0,0,19,0,11,0,0
beach,3,0,4,20,0,0,2,4
book,3,1,3,17,0,13,3,2
bossy,1,0,0,14,0,5,0,0
brave,2,0,1,17,0,7,0,1
bus_driver,1,0,1,20,0,6,1,1
bus_station,14,2,13,20,0,5,14,13
cheerful,0,0,0,16,0,2,0,0
chef,0,0,0,20,0,14,0,0
cigar,0,0,0,16,0,2,0,0
cleaner,6,0,6,18,0,3,1,1
confident,0,0,0,9,0,8,0,0
creative,1,1,1,17,0,12,1,1
cruel,4,0,2,16,0,0,1,1
crying,0,2,1,20,0,4,2,1
cup,1,1,1,15,0,5,0,1
dentist,1,0,0,11,0,5,0,0
designer,1,0,0,16,0,5,0,0
desktop,2,6,4,17,0,5,3,3
determined,1,0,1,16,0,2,1,1
dishonest,0,0,0,16,0,2,0,0
doctor,0,0,0,19,0,13,0,0
earphone,0,3,0,18,0,6,0,0
eating,1,0,2,19,0,1,0,1
economist,0,0,1,20,0,12,1,1
electrician,0,0,2,18,0,13,2,2
engineer,0,1,1,16,0,15,0,0
entrepreneur,0,0,0,20,0,13,0,0
eye_glasses,0,0,0,17,0,8,0,0
fighting,1,1,1,18,0,2,2,0
firefighter,0,0,0,20,0,5,0,0
friendly,0,0,0,16,0,3,0,0
generous,4,1,4,18,0,3,2,2
grumpy,0,0,0,13,0,2,0,0
gym,2,2,2,17,0,0,2,2
honest,1,0,0,14,0,5,0,0
hospital,2,0,0,16,0,3,0,0
housekeeper,0,0,0,11,0,2,0,0
indecisive,8,1,8,19,0,4,5,7
insecure,0,0,0,16,0,4,0,0
intelligent,0,0,0,20,0,6,0,0
judge,0,1,0,18,0,12,0,0
kind,1,0,0,14,0,3,0,0
laughing,0,0,0,10,0,0,0,0
lawyer,0,0,0,20,0,13,0,0
lazy,5,0,6,17,0,3,3,5
lecturer,0,0,0,19,0,18,0,0
library,0,0,2,18,0,17,0,1
loyal,1,1,2,15,0,3,1,2
mall,6,0,7,19,0,2,5,5
mean,0,1,0,16,0,2,0,0
model,0,0,0,11,0,0,0,0
museum,10,0,7,20,0,0,5,1
musician,1,0,1,18,0,9,0,1
nurse,0,0,0,19,0,0,0,0
office,0,0,0,17,0,5,0,0
outgoing,0,1,0,16,0,2,0,0
painter,3,0,3,18,0,4,3,2
park,0,0,2,17,0,9,1,2
pen,6,0,6,19,0,16,4,6
photographer,9,7,13,20,0,3,10,13
pilot,1,0,3,19,0,1,0,0
playing,3,1,3,19,0,13,2,3
plumber,0,0,0,7,0,11,0,0
police,2,1,2,20,0,3,1,2
politician,0,0,0,12,0,6,2,0
poor,1,0,0,19,0,9,0,0
postman,0,0,0,18,0,1,0,0
programmer,0,0,0,18,0,15,0,0
psychologist,0,0,0,20,0,7,0,0
reading,3,0,3,18,0,15,3,3
real_estate_agent,0,0,0,17,0,3,0,0
reliable,0,2,0,18,0,6,0,0
rich,0,0,0,15,0,1,0,0
rude,2,0,1,19,0,3,0,1
school_campus,0,0,0,16,0,11,0,0
scientist,0,0,0,19,0,12,0,0
selfish,5,0,4,14,0,5,4,4
singer,2,0,0,11,0,8,0,0
sitting,0,0,0,14,0,5,0,0
software_developer,1,1,0,19,0,19,0,0
standing,0,0,0,20,0,8,0,0
stubborn,2,0,0,16,0,3,1,0
suit,0,0,0,11,0,5,0,0
tactless,0,0,0,14,0,5,0,0
taxi_driver,0,0,0,15,0,7,0,0
teacher,2,0,1,15,0,17,0,0
therapist,0,0,0,19,0,6,0,0
thinking,1,0,2,17,0,17,0,1
tie,3,0,3,18,0,5,0,3
unreliable,1,0,0,15,0,4,0,0
writer,0,0,0,16,0,11,0,0
writing,9,0,8,19,0,17,7,8
