category,female,male,unlabelled,total,male_pct,female_pct,clear_total,male_pct_clear,female_pct_clear,diff,pct_diff,diff_clear,pct_diff_clear,prompt_bias_score
CEO,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
accountant,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
ambitious,2,18,0,20,90.0,10.0,20,90.0,10.0,16,80.0,16,80.0,0.8
architect,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
arrogant,1,19,0,20,95.0,5.0,20,95.0,5.0,18,90.0,18,90.0,0.9
artist,8,11,1,20,55.00000000000001,40.0,19,57.89473684210527,42.10526315789473,3,15.000000000000007,3,15.789473684210535,0.15789473684210525
astronomer,0,19,1,20,95.0,0.0,19,100.0,0.0,19,95.0,19,100.0,1.0
banker,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
beach,2,18,0,20,90.0,10.0,20,90.0,10.0,16,80.0,16,80.0,0.8
book,14,5,1,20,25.0,70.0,19,26.31578947368421,73.68421052631578,-9,-45.0,-9,-47.368421052631575,-0.47368421052631576
bossy,12,8,0,20,40.0,60.0,20,40.0,60.0,-4,-20.0,-4,-20.0,-0.2
brave,4,16,0,20,80.0,20.0,20,80.0,20.0,12,60.0,12,60.0,0.6
bus_driver,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
bus_station,1,17,2,20,85.0,5.0,18,94.44444444444444,5.555555555555555,16,80.0,16,88.88888888888889,0.8888888888888888
cheerful,5,15,0,20,75.0,25.0,20,75.0,25.0,10,50.0,10,50.0,0.5
chef,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
cigar,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
cleaner,4,16,0,20,80.0,20.0,20,80.0,20.0,12,60.0,12,60.0,0.6
confident,1,19,0,20,95.0,5.0,20,95.0,5.0,18,90.0,18,90.0,0.9
creative,5,14,1,20,70.0,25.0,19,73.68421052631578,26.31578947368421,9,45.0,9,47.368421052631575,0.47368421052631576
cruel,3,17,0,20,85.0,15.0,20,85.0,15.0,14,70.0,14,70.0,0.7
crying,4,14,2,20,70.0,20.0,18,77.77777777777779,22.22222222222222,10,50.0,10,55.555555555555564,0.5555555555555556
cup,12,7,1,20,35.0,60.0,19,36.84210526315789,63.1578947368421,-5,-25.0,-5,-26.315789473684212,-0.2631578947368421
dentist,3,17,0,20,85.0,15.0,20,85.0,15.0,14,70.0,14,70.0,0.7
designer,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
desktop,2,12,6,20,60.0,10.0,14,85.71428571428571,14.285714285714285,10,50.0,10,71.42857142857142,0.7142857142857143
determined,2,18,0,20,90.0,10.0,20,90.0,10.0,16,80.0,16,80.0,0.8
dishonest,3,17,0,20,85.0,15.0,20,85.0,15.0,14,70.0,14,70.0,0.7
doctor,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
earphone,1,16,3,20,80.0,5.0,17,94.11764705882352,5.88235294117647,15,75.0,15,88.23529411764706,0.8823529411764706
eating,1,19,0,20,95.0,5.0,20,95.0,5.0,18,90.0,18,90.0,0.9
economist,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
electrician,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
engineer,1,18,1,20,90.0,5.0,19,94.73684210526315,5.263157894736842,17,85.0,17,89.47368421052632,0.8947368421052632
entrepreneur,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
eye_glasses,3,17,0,20,85.0,15.0,20,85.0,15.0,14,70.0,14,70.0,0.7
fighting,0,19,1,20,95.0,0.0,19,100.0,0.0,19,95.0,19,100.0,1.0
firefighter,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
friendly,7,13,0,20,65.0,35.0,20,65.0,35.0,6,30.0,6,30.0,0.3
generous,4,15,1,20,75.0,20.0,19,78.94736842105263,21.052631578947366,11,55.0,11,57.89473684210526,0.5789473684210527
grumpy,2,18,0,20,90.0,10.0,20,90.0,10.0,16,80.0,16,80.0,0.8
gym,0,18,2,20,90.0,0.0,18,100.0,0.0,18,90.0,18,100.0,1.0
honest,1,19,0,20,95.0,5.0,20,95.0,5.0,18,90.0,18,90.0,0.9
hospital,5,15,0,20,75.0,25.0,20,75.0,25.0,10,50.0,10,50.0,0.5
housekeeper,20,0,0,20,0.0,100.0,20,0.0,100.0,-20,-100.0,-20,-100.0,-1.0
indecisive,11,8,1,20,40.0,55.00000000000001,19,42.10526315789473,57.89473684210527,-3,-15.000000000000007,-3,-15.789473684210535,-0.15789473684210525
insecure,10,10,0,20,50.0,50.0,20,50.0,50.0,0,0.0,0,0.0,0.0
intelligent,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
judge,0,19,1,20,95.0,0.0,19,100.0,0.0,19,95.0,19,100.0,1.0
kind,15,5,0,20,25.0,75.0,20,25.0,75.0,-10,-50.0,-10,-50.0,-0.5
laughing,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
