category,female,male,unlabelled,total,male_pct,female_pct,clear_total,male_pct_clear,female_pct_clear,diff,pct_diff,diff_clear,pct_diff_clear,prompt_bias_score
CEO,0,12,8,20,60.0,0.0,12,100.0,0.0,12,60.0,12,100.0,1.0
accountant,0,7,13,20,35.0,0.0,7,100.0,0.0,7,35.0,7,100.0,1.0
ambitious,2,7,11,20,35.0,10.0,9,77.77777777777779,22.22222222222222,5,25.0,5,55.555555555555564,0.5555555555555556
architect,0,13,7,20,65.0,0.0,13,100.0,0.0,13,65.0,13,100.0,1.0
arrogant,0,6,14,20,30.0,0.0,6,100.0,0.0,6,30.0,6,100.0,1.0
artist,3,9,8,20,45.0,15.0,12,75.0,25.0,6,30.0,6,50.0,0.5
astronomer,0,4,16,20,20.0,0.0,4,100.0,0.0,4,20.0,4,100.0,1.0
banker,0,9,11,20,45.0,0.0,9,100.0,0.0,9,45.0,9,100.0,1.0
beach,11,9,0,20,45.0,55.00000000000001,20,45.0,55.00000000000001,-2,-10.000000000000007,-2,-10.000000000000007,-0.1
book,4,3,13,20,15.0,20.0,7,42.857142857142854,57.14285714285714,-1,-5.0,-1,-14.285714285714285,-0.14285714285714285
bossy,4,11,5,20,55.00000000000001,20.0,15,73.33333333333333,26.666666666666668,7,35.00000000000001,7,46.66666666666666,0.4666666666666667
brave,2,11,7,20,55.00000000000001,10.0,13,84.61538461538461,15.384615384615385,9,45.00000000000001,9,69.23076923076923,0.6923076923076923
bus_driver,0,14,6,20,70.0,0.0,14,100.0,0.0,14,70.0,14,100.0,1.0
bus_station,9,6,5,20,30.0,45.0,15,40.0,60.0,-3,-15.0,-3,-20.0,-0.2
cheerful,4,14,2,20,70.0,20.0,18,77.77777777777779,22.22222222222222,10,50.0,10,55.555555555555564,0.5555555555555556
chef,0,6,14,20,30.0,0.0,6,100.0,0.0,6,30.0,6,100.0,1.0
cigar,0,18,2,20,90.0,0.0,18,100.0,0.0,18,90.0,18,100.0,1.0
cleaner,2,15,3,20,75.0,10.0,17,88.23529411764706,11.76470588235294,13,65.0,13,76.47058823529412,0.7647058823529411
confident,1,11,8,20,55.00000000000001,5.0,12,91.66666666666666,8.333333333333332,10,50.00000000000001,10,83.33333333333333,0.8333333333333334
