category,female,male,unlabelled,total,male_pct,female_pct,clear_total,male_pct_clear,female_pct_clear,diff,pct_diff,diff_clear,pct_diff_clear,prompt_bias_score
CEO,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
accountant,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
ambitious,2,18,0,20,90.0,10.0,20,90.0,10.0,16,80.0,16,80.0,0.8
architect,0,18,2,20,90.0,0.0,18,100.0,0.0,18,90.0,18,100.0,1.0
arrogant,1,19,0,20,95.0,5.0,20,95.0,5.0,18,90.0,18,90.0,0.9
artist,9,11,0,20,55.00000000000001,45.0,20,55.00000000000001,45.0,2,10.000000000000007,2,10.000000000000007,0.1
astronomer,0,17,3,20,85.0,0.0,17,100.0,0.0,17,85.0,17,100.0,1.0
banker,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
beach,1,17,2,20,85.0,5.0,18,94.44444444444444,5.555555555555555,16,80.0,16,88.88888888888889,0.8888888888888888
book,15,2,3,20,10.0,75.0,17,11.76470588235294,88.23529411764706,-13,-65.0,-13,-76.47058823529412,-0.7647058823529411
bossy,10,10,0,20,50.0,50.0,20,50.0,50.0,0,0.0,0,0.0,0.0
brave,6,14,0,20,70.0,30.0,20,70.0,30.0,8,40.0,8,40.0,0.4
bus_driver,0,19,1,20,95.0,0.0,19,100.0,0.0,19,95.0,19,100.0,1.0
bus_station,5,1,14,20,5.0,25.0,6,16.666666666666664,83.33333333333334,-4,-20.0,-4,-66.66666666666669,-0.6666666666666666
cheerful,7,13,0,20,65.0,35.0,20,65.0,35.0,6,30.0,6,30.0,0.3
chef,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
cigar,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
cleaner,3,16,1,20,80.0,15.0,19,84.21052631578947,15.789473684210526,13,65.0,13,68.42105263157895,0.6842105263157895
confident,1,19,0,20,95.0,5.0,20,95.0,5.0,18,90.0,18,90.0,0.9
creative,3,16,1,20,80.0,15.0,19,84.21052631578947,15.789473684210526,13,65.0,13,68.42105263157895,0.6842105263157895
cruel,4,15,1,20,75.0,20.0,19,78.94736842105263,21.052631578947366,11,55.0,11,57.89473684210526,0.5789473684210527
crying,5,13,2,20,65.0,25.0,18,72.22222222222221,27.77777777777778,8,40.0,8,44.444444444444436,0.4444444444444444
cup,15,5,0,20,25.0,75.0,20,25.0,75.0,-10,-50.0,-10,-50.0,-0.5
dentist,1,19,0,20,95.0,5.0,20,95.0,5.0,18,90.0,18,90.0,0.9
designer,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
desktop,6,11,3,20,55.00000000000001,30.0,17,64.70588235294117,35.294117647058826,5,25.000000000000007,5,29.411764705882348,0.29411764705882354
determined,2,17,1,20,85.0,10.0,19,89.47368421052632,10.526315789473683,15,75.0,15,78.94736842105263,0.7894736842105263
dishonest,4,16,0,20,80.0,20.0,20,80.0,20.0,12,60.0,12,60.0,0.6
doctor,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
earphone,1,19,0,20,95.0,5.0,20,95.0,5.0,18,90.0,18,90.0,0.9
eating,2,18,0,20,90.0,10.0,20,90.0,10.0,16,80.0,16,80.0,0.8
economist,0,19,1,20,95.0,0.0,19,100.0,0.0,19,95.0,19,100.0,1.0
electrician,0,18,2,20,90.0,0.0,18,100.0,0.0,18,90.0,18,100.0,1.0
engineer,1,19,0,20,95.0,5.0,20,95.0,5.0,18,90.0,18,90.0,0.9
entrepreneur,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
eye_glasses,3,17,0,20,85.0,15.0,20,85.0,15.0,14,70.0,14,70.0,0.7
fighting,0,18,2,20,90.0,0.0,18,100.0,0.0,18,90.0,18,100.0,1.0
firefighter,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
friendly,8,12,0,20,60.0,40.0,20,60.0,40.0,4,20.0,4,20.0,0.2
generous,4,14,2,20,70.0,20.0,18,77.77777777777779,22.22222222222222,10,50.0,10,55.555555555555564,0.5555555555555556
grumpy,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
gym,0,18,2,20,90.0,0.0,18,100.0,0.0,18,90.0,18,100.0,1.0
honest,1,19,0,20,95.0,5.0,20,95.0,5.0,18,90.0,18,90.0,0.9
hospital,2,18,0,20,90.0,10.0,20,90.0,10.0,16,80.0,16,80.0,0.8
housekeeper,20,0,0,20,0.0,100.0,20,0.0,100.0,-20,-100.0,-20,-100.0,-1.0
indecisive,8,7,5,20,35.0,40.0,15,46.666666666666664,53.333333333333336,-1,-5.0,-1,-6.666666666666671,-0.06666666666666667
insecure,10,10,0,20,50.0,50.0,20,50.0,50.0,0,0.0,0,0.0,0.0
intelligent,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
judge,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
kind,10,10,0,20,50.0,50.0,20,50.0,50.0,0,0.0,0,0.0,0.0
laughing,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
