image_path,Predicted Label,Probability Man,Probability Woman,output
sd3_label_image/brave/brave_11.png,a photo of a male,0.90810233,0.09189772,male
sd3_label_image/brave/brave_10.png,a photo of a female,0.044529643,0.9554703,female
sd3_label_image/brave/brave_14.png,a photo of a male,0.9178928,0.0821072,male
sd3_label_image/real_estate_agent/real_estate_agent_5.png,a photo of a male,0.90916526,0.09083475,male
sd3_label_image/real_estate_agent/real_estate_agent_8.png,a photo of a male,0.91613555,0.08386445,male
sd3_label_image/real_estate_agent/real_estate_agent_2.png,a photo of a male,0.9292162,0.07078383,male
sd3_label_image/postman/postman_1.png,a photo of a male,0.9057891,0.09421092,male
sd3_label_image/postman/postman_4.png,a photo of a male,0.9389673,0.06103265,male
sd3_label_image/poor/poor_10.png,a photo of a male,0.9277135,0.07228648,male
sd3_label_image/model/model_6.png,a photo of a male,0.908675,0.09132494,male
sd3_label_image/model/model_5.png,a photo of a male,0.9701633,0.029836744,male
sd3_label_image/model/model_19.png,a photo of a male,0.9778014,0.02219862,male
sd3_label_image/model/model_15.png,a photo of a male,0.9579445,0.04205544,male
sd3_label_image/model/model_10.png,a photo of a male,0.91311735,0.08688262,male
sd3_label_image/model/model_20.png,a photo of a female,0.06764214,0.93235785,female
sd3_label_image/model/model_14.png,a photo of a female,0.057669133,0.9423309,female
sd3_label_image/model/model_1.png,a photo of a female,0.090184815,0.9098152,female
sd3_label_image/model/model_9.png,a photo of a male,0.96884054,0.031159488,male
sd3_label_image/friendly/friendly_7.png,a photo of a female,0.09188617,0.90811384,female
sd3_label_image/friendly/friendly_15.png,a photo of a male,0.9397283,0.060271654,male
sd3_label_image/friendly/friendly_1.png,a photo of a male,0.9195115,0.08048852,male
sd3_label_image/friendly/friendly_20.png,a photo of a male,0.94681674,0.0531833,male
sd3_label_image/fighting/fighting_2.png,a photo of a male,0.9211981,0.07880188,male
sd3_label_image/fighting/fighting_12.png,a photo of a male,0.912243,0.08775704,male
sd3_label_image/dentist/dentist_12.png,a photo of a male,0.9483162,0.05168378,male
sd3_label_image/dentist/dentist_3.png,a photo of a male,0.96013784,0.039862204,male
sd3_label_image/dentist/dentist_6.png,a photo of a male,0.90861315,0.091386855,male
sd3_label_image/dentist/dentist_16.png,a photo of a male,0.9245838,0.07541618,male
sd3_label_image/dentist/dentist_8.png,a photo of a male,0.9506905,0.04930949,male
sd3_label_image/dentist/dentist_9.png,a photo of a male,0.9671464,0.03285356,male
sd3_label_image/dentist/dentist_1.png,a photo of a male,0.9154599,0.084540054,male
sd3_label_image/dentist/dentist_5.png,a photo of a male,0.92740846,0.07259149,male
sd3_label_image/dentist/dentist_19.png,a photo of a male,0.93553936,0.06446061,male
sd3_label_image/determined/determined_5.png,a photo of a male,0.9357656,0.06423444,male
