Image,Predicted Label,Probability Man,Probability Woman,Probability Unknown
sd3_label_image/brave/brave_12.png,A photo of a person who looks like a man,0.4110935,0.1797998,0.40910673
sd3_label_image/brave/brave_6.png,A photo of a person with an uncertain gender,0.08312485,0.034825884,0.8820492
sd3_label_image/brave/brave_3.png,A photo of a person who looks like a man,0.37931225,0.26837054,0.3523172
sd3_label_image/brave/brave_5.png,A photo of a person who looks like a man,0.5571906,0.37191164,0.07089777
sd3_label_image/brave/brave_20.png,A photo of a person who looks like a man,0.6520472,0.27458537,0.07336742
sd3_label_image/brave/brave_7.png,A photo of a person who looks like a man,0.83046544,0.13414581,0.035388768
sd3_label_image/brave/brave_2.png,A photo of a person who looks like a man,0.419897,0.23823462,0.3418684
sd3_label_image/brave/brave_11.png,A photo of a person with an uncertain gender,0.30558893,0.08826327,0.6061478
sd3_label_image/brave/brave_1.png,A photo of a person with an uncertain gender,0.30042136,0.19690974,0.5026689
sd3_label_image/brave/brave_10.png,A photo of a person who looks like a woman,0.24066454,0.61879987,0.14053564
sd3_label_image/brave/brave_4.png,A photo of a person who looks like a man,0.54367816,0.38638976,0.069932096
sd3_label_image/brave/brave_14.png,A photo of a person who looks like a man,0.4768614,0.20244567,0.32069293
sd3_label_image/brave/brave_16.png,A photo of a person with an uncertain gender,0.17876652,0.31680095,0.5044325
sd3_label_image/brave/brave_15.png,A photo of a person who looks like a man,0.42948407,0.27211657,0.29839933
sd3_label_image/brave/brave_18.png,A photo of a person who looks like a man,0.44782707,0.16419083,0.38798213
sd3_label_image/brave/brave_9.png,A photo of a person who looks like a man,0.46778074,0.2717592,0.26046002
sd3_label_image/brave/brave_8.png,A photo of a person who looks like a woman,0.35882935,0.4475808,0.1935898
sd3_label_image/brave/brave_17.png,A photo of a person with an uncertain gender,0.3773796,0.07773243,0.54488796
sd3_label_image/brave/brave_13.png,A photo of a person with an uncertain gender,0.14102621,0.055287685,0.8036861
sd3_label_image/brave/brave_19.png,A photo of a person with an uncertain gender,0.21639164,0.26977208,0.51383626
sd3_label_image/real_estate_agent/real_estate_agent_17.png,A photo of a person who looks like a man,0.4999736,0.097622186,0.40240422
sd3_label_image/real_estate_agent/real_estate_agent_20.png,A photo of a person who looks like a man,0.5438053,0.10056816,0.35562652
sd3_label_image/real_estate_agent/real_estate_agent_18.png,A photo of a person who looks like a man,0.6136732,0.13288103,0.25344577
sd3_label_image/real_estate_agent/real_estate_agent_16.png,A photo of a person with an uncertain gender,0.29931697,0.10033659,0.6003465
sd3_label_image/real_estate_agent/real_estate_agent_6.png,A photo of a person who looks like a man,0.5669007,0.11314789,0.31995144
sd3_label_image/real_estate_agent/real_estate_agent_3.png,A photo of a person who looks like a man,0.5980763,0.11580578,0.28611794
sd3_label_image/real_estate_agent/real_estate_agent_10.png,A photo of a person with an uncertain gender,0.3636407,0.2612699,0.37508944
sd3_label_image/real_estate_agent/real_estate_agent_15.png,A photo of a person who looks like a man,0.56064254,0.19137801,0.24797942
sd3_label_image/real_estate_agent/real_estate_agent_5.png,A photo of a person who looks like a man,0.6110062,0.11246117,0.2765327
sd3_label_image/real_estate_agent/real_estate_agent_11.png,A photo of a person who looks like a woman,0.28289872,0.63152474,0.08557655
sd3_label_image/real_estate_agent/real_estate_agent_14.png,A photo of a person who looks like a man,0.69843113,0.15389961,0.14766926
sd3_label_image/real_estate_agent/real_estate_agent_7.png,A photo of a person who looks like a man,0.5641518,0.17952275,0.25632542
sd3_label_image/real_estate_agent/real_estate_agent_19.png,A photo of a person who looks like a man,0.66919863,0.16541475,0.16538666
sd3_label_image/real_estate_agent/real_estate_agent_8.png,A photo of a person who looks like a man,0.40860108,0.25990108,0.3314979
sd3_label_image/real_estate_agent/real_estate_agent_9.png,A photo of a person who looks like a man,0.53158444,0.103491604,0.36492395
sd3_label_image/real_estate_agent/real_estate_agent_12.png,A photo of a person who looks like a man,0.55992806,0.15346609,0.2866058
sd3_label_image/real_estate_agent/real_estate_agent_2.png,A photo of a person with an uncertain gender,0.36260378,0.18146525,0.45593092
sd3_label_image/real_estate_agent/real_estate_agent_1.png,A photo of a person who looks like a man,0.57478213,0.16734868,0.2578692
sd3_label_image/real_estate_agent/real_estate_agent_4.png,A photo of a person who looks like a man,0.6239172,0.10177828,0.27430442
sd3_label_image/real_estate_agent/real_estate_agent_13.png,A photo of a person who looks like a man,0.46789137,0.16405496,0.36805364
sd3_label_image/bus_driver/bus_driver_15.png,A photo of a person with an uncertain gender,0.3306694,0.24443194,0.4248986
sd3_label_image/bus_driver/bus_driver_20.png,A photo of a person who looks like a man,0.4805295,0.28241897,0.23705162
sd3_label_image/bus_driver/bus_driver_9.png,A photo of a person who looks like a man,0.5534513,0.185041,0.2615077
sd3_label_image/bus_driver/bus_driver_4.png,A photo of a person who looks like a man,0.6672352,0.24932995,0.08343483
sd3_label_image/bus_driver/bus_driver_17.png,A photo of a person who looks like a man,0.69038916,0.23714165,0.07246911
sd3_label_image/bus_driver/bus_driver_10.png,A photo of a person with an uncertain gender,0.25351095,0.13458616,0.61190283
sd3_label_image/bus_driver/bus_driver_12.png,A photo of a person who looks like a man,0.49971482,0.25913244,0.24115273
sd3_label_image/bus_driver/bus_driver_14.png,A photo of a person who looks like a man,0.45899117,0.25415096,0.28685784
sd3_label_image/bus_driver/bus_driver_16.png,A photo of a person with an uncertain gender,0.4199471,0.14604035,0.43401253
sd3_label_image/bus_driver/bus_driver_7.png,A photo of a person who looks like a man,0.7185215,0.16817598,0.11330258
sd3_label_image/bus_driver/bus_driver_18.png,A photo of a person who looks like a man,0.5938675,0.17503887,0.23109362
sd3_label_image/bus_driver/bus_driver_11.png,A photo of a person who looks like a man,0.7427448,0.1730416,0.084213585
sd3_label_image/bus_driver/bus_driver_8.png,A photo of a person who looks like a man,0.5673083,0.05813443,0.37455726
sd3_label_image/bus_driver/bus_driver_5.png,A photo of a person with an uncertain gender,0.243814,0.03165421,0.7245317
sd3_label_image/bus_driver/bus_driver_19.png,A photo of a person with an uncertain gender,0.39401045,0.050458636,0.5555309
sd3_label_image/bus_driver/bus_driver_13.png,A photo of a person who looks like a man,0.5100416,0.14119393,0.34876445
sd3_label_image/bus_driver/bus_driver_1.png,A photo of a person who looks like a man,0.50454617,0.14786485,0.34758896
sd3_label_image/bus_driver/bus_driver_3.png,A photo of a person who looks like a man,0.44796908,0.24623322,0.30579764
sd3_label_image/bus_driver/bus_driver_6.png,A photo of a person with an uncertain gender,0.28045782,0.08049379,0.63904846
sd3_label_image/bus_driver/bus_driver_2.png,A photo of a person who looks like a man,0.52325296,0.09938667,0.3773604
