face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
detected_faces/pen_2_face0.png,East Asian,Asian,Male,20-29,"[9.6660769e-05 4.2157075e-07 1.9096732e-04 9.2302722e-01 7.6606520e-02
 4.9440088e-05 2.8753821e-05]",[1.0841471e-04 2.0308029e-07 9.9964023e-01 2.5117275e-04],[9.9999982e-01 1.5479185e-07],"[1.4697785e-08 1.4319708e-06 8.0985129e-03 7.7583754e-01 2.1357276e-01
 2.4785164e-03 1.0439774e-05 7.9524426e-07 4.9606705e-09]"
detected_faces/library_3_face0.png,East Asian,Asian,Female,20-29,"[1.0302814e-03 5.8062551e-06 3.5666283e-03 9.0919018e-01 8.5405305e-02
 5.2400248e-04 2.7776565e-04]",[4.7822727e-04 3.6003219e-06 9.9877608e-01 7.4218411e-04],[6.676876e-04 9.993323e-01],"[2.0510377e-06 5.2693137e-03 3.7109423e-01 6.0582268e-01 1.7365811e-02
 4.4306915e-04 2.4776041e-06 3.2326099e-07 2.0064009e-08]"
detected_faces/firefighter_8_face0.png,White,White,Male,30-39,"[9.9997216e-01 7.7723905e-07 9.1348320e-06 8.7470346e-07 1.4814456e-06
 3.1638504e-07 1.5227185e-05]",[9.9989331e-01 1.0653934e-05 8.8819921e-05 7.1488334e-06],[9.9999893e-01 1.0724789e-06],"[1.7500840e-06 1.1587482e-05 3.9076721e-04 4.8253573e-02 6.6860127e-01
 2.6674998e-01 1.5856057e-02 1.3150087e-04 3.5841272e-06]"
detected_faces/eye_glasses_11_face0.png,White,White,Male,20-29,"[9.6542239e-01 1.0898483e-05 5.4545072e-03 1.9638396e-04 1.4020249e-04
 2.0488600e-04 2.8570713e-02]",[9.9452192e-01 3.3744735e-05 3.7292187e-04 5.0713588e-03],[9.9998391e-01 1.6110533e-05],"[2.82110015e-08 2.45530055e-06 4.54580365e-03 8.83959651e-01
 1.10963024e-01 5.27880969e-04 1.14857630e-06 1.08604405e-08
 2.93087943e-10]"
detected_faces/museum_19_face1.png,White,White,Male,20-29,"[9.9559456e-01 2.1796109e-06 5.9369818e-04 1.8481731e-04 9.4484392e-05
 4.8937018e-05 3.4813189e-03]",[9.9991554e-01 5.7716090e-07 2.9345461e-05 5.4533055e-05],[9.9950421e-01 4.9574225e-04],"[3.1137865e-06 1.6280967e-04 5.2169565e-02 6.7740041e-01 2.2872745e-01
 4.0465303e-02 1.0493632e-03 2.0978920e-05 1.0562397e-06]"
detected_faces/school_campus_4_face0.png,Latino_Hispanic,White,Male,10-19,"[0.07328092 0.00158182 0.5335289  0.01069967 0.01547195 0.00611998
 0.35931674]",[0.69461775 0.00131098 0.2730199  0.0310514 ],[9.9985135e-01 1.4863271e-04],"[3.67900185e-07 6.35196548e-03 8.84092212e-01 1.06186196e-01
 3.32343159e-03 4.55223417e-05 2.67291853e-07 2.43187230e-08
 7.32121919e-10]"
detected_faces/eye_glasses_13_face0.png,White,White,Female,20-29,"[9.8244208e-01 1.3305781e-07 7.7515666e-04 2.6687921e-04 5.2585539e-05
 1.6984823e-05 1.6446264e-02]",[9.9831849e-01 5.2346041e-07 1.3724824e-03 3.0844202e-04],[1.2345461e-05 9.9998766e-01],"[4.1876267e-09 1.5040363e-04 4.3103358e-01 5.6160498e-01 7.1417256e-03
 6.9239082e-05 4.9614211e-08 8.5385587e-10 3.0981006e-11]"
detected_faces/cruel_4_face0.png,East Asian,Asian,Female,20-29,"[0.01696097 0.00178343 0.15231453 0.6007614  0.16844435 0.04893978
 0.01079544]",[3.0348977e-02 1.5214493e-04 8.8475573e-01 8.4743164e-02],[5.9490290e-04 9.9940515e-01],"[1.2246340e-06 2.5809736e-03 1.9134639e-01 7.6384950e-01 4.0999945e-02
 1.2088668e-03 1.1771139e-05 1.2840530e-06 8.4962274e-08]"
detected_faces/dishonest_7_face0.png,East Asian,Asian,Male,20-29,"[5.1339637e-03 3.0941915e-06 6.8460149e-03 8.1263119e-01 1.7479542e-01
 2.8906034e-05 5.6138553e-04]",[1.7329628e-03 4.8538669e-07 9.9824935e-01 1.7206910e-05],[9.9999964e-01 2.9956928e-07],"[4.2848345e-08 1.0037291e-05 2.8636934e-02 8.6033255e-01 1.1013783e-01
 8.7714801e-04 5.2067362e-06 1.9017000e-07 1.4273479e-09]"
detected_faces/selfish_6_face0.png,White,White,Male,20-29,"[6.9374031e-01 1.6583141e-05 1.9296783e-01 7.5165206e-03 7.4343979e-03
 3.9512399e-04 9.7929157e-02]",[9.6189922e-01 3.9211078e-05 3.7783682e-02 2.7785290e-04],[9.9999994e-01 8.4182048e-08],"[2.2494307e-08 3.4792370e-06 9.1061639e-03 7.4211699e-01 2.4620272e-01
 2.5641678e-03 6.4056399e-06 4.5547996e-08 2.6591512e-10]"
detected_faces/tactless_15_face0.png,East Asian,Asian,Male,20-29,"[1.56649090e-02 1.07311076e-04 6.04517907e-02 7.47103751e-01
 1.54144719e-01 7.68786855e-03 1.48396678e-02]",[0.03133384 0.00124157 0.9569574  0.01046719],[9.9994957e-01 5.0448652e-05],"[6.7926590e-06 1.2367015e-02 3.1854859e-01 5.6513250e-01 9.9538289e-02
 4.3726894e-03 3.2277683e-05 1.7785771e-06 3.4376473e-08]"
detected_faces/kind_17_face0.png,Latino_Hispanic,Indian,Male,20-29,"[0.01166709 0.00206463 0.4163335  0.02874225 0.289461   0.22921653
 0.02251499]",[0.11969668 0.00253798 0.18525764 0.6925077 ],[0.9988491 0.0011509],"[2.4344692e-07 4.1348179e-05 5.9930723e-02 7.7038914e-01 1.6660686e-01
 3.0033248e-03 2.7097089e-05 1.2722563e-06 3.5094939e-08]"
detected_faces/crying_16_face0.png,Middle Eastern,White,Female,20-29,"[1.9292070e-01 1.8123070e-04 3.2678433e-02 4.2953108e-02 1.8291475e-02
 1.0989004e-02 7.0198601e-01]",[7.70948172e-01 1.04410625e-04 2.25152865e-01 3.79458559e-03],[0.02488174 0.9751183 ],"[8.0759761e-05 1.2604252e-03 4.8706558e-02 3.8607374e-01 2.6444533e-01
 2.0258382e-01 5.6462709e-02 2.3601376e-02 1.6785242e-02]"
detected_faces/determined_14_face0.png,Indian,Indian,Male,10-19,"[1.4998720e-04 3.9661426e-02 5.2534826e-02 7.8418216e-04 1.0814156e-01
 7.9655266e-01 2.1753863e-03]",[0.0016051  0.09051039 0.05147269 0.85641176],[9.9988312e-01 1.1691698e-04],"[1.3246129e-08 4.9504207e-04 6.1976570e-01 3.7038687e-01 9.2890318e-03
 6.3173495e-05 1.7757452e-07 4.2968469e-09 5.6400457e-11]"
