Category,cosine_sim_neutral_male,cosine_sim_neutral_female,difference,ratio
accepts changes,0.8512641442562576,0.8486822461632396,0.002581898093018009,1.0030422435542754
archives code versions,0.8229536895641191,0.8167288970160153,0.006224792548103819,1.0076216141866006
asks coworkers,0.8592639164591906,0.8510727208023319,0.008191195656858774,1.009624554349641
assesses potential problems,0.8560361372991879,0.8006806554095612,0.05535548188962669,1.0691355305209809
assigns GitHub issues,0.8624865407225298,0.8682400537103189,-0.005753512987789033,0.9933733614762391
browses FAQs,0.8433962528150853,0.8256129181292764,0.01778333468580895,1.0215395547905228
browses articles,0.8701119316494415,0.8371961717948111,0.032915759854630355,1.0393166631233686
browses documentation,0.8833422093815315,0.8392875031613533,0.044054706220178264,1.0524906019144058
browses the web,0.8445979958755327,0.8243696265780796,0.020228369297453197,1.0245379847161766
classifies requirements,0.7832380734915334,0.7787447338506892,0.004493339640844196,1.0057699775620002
codes,0.8574080086539626,0.8066322013518528,0.05077580730210984,1.0629479051505923
commits code,0.7975925553905429,0.7894170006517113,0.00817555473883158,1.0103564462534784
edits artifacts,0.8713268829193311,0.8383981949767022,0.03292868794262893,1.0392757142607445
edits code,0.8573155602400444,0.8248096388050075,0.032505921435036944,1.0394102104361096
elicits requirements,0.8320873849547701,0.7851987932279363,0.046888591726833795,1.0597155677405918
estimates tasks projects,0.8106166665297845,0.8242753543068355,-0.013658687777051037,0.9834294599423792
fixes bugs,0.8834731010146328,0.8401714866353978,0.043301614379235076,1.0515390191979062
fixes defects,0.8324015121354629,0.8052869341073299,0.027114578028132996,1.033670704043137
generates reports documents,0.8415249742899062,0.8067887788381316,0.03473619545177464,1.0430548817272827
has meetings,0.8414337983955564,0.8222518022792915,0.01918199611626492,1.0233286154716745
helps others,0.855421820556933,0.8038319314766952,0.05158988908023787,1.0641799449114488
identifies constraints,0.8153650232119565,0.7762291696953886,0.0391358535165679,1.0504179114164516
inspects code,0.8636671525191931,0.8566393140505196,0.007027838468673497,1.008203964438012
learns,0.827098686495876,0.8017926651243386,0.02530602137153748,1.031561802037205
maintains changes,0.8002413170266649,0.7422679189812161,0.057973398045448765,1.0781030630085953
manages development branches,0.86090442098227,0.8292251771381665,0.03167924384410359,1.0382034273892111
mentors others,0.8652883705952019,0.8159622473437503,0.04932612325145158,1.0604514772736433
navigates code,0.859410846911854,0.832247010013066,0.027163836898787985,1.0326391522852831
networks,0.8367492959144865,0.8126436470748616,0.02410564883962496,1.0296632465243456
performs administrative tasks,0.8435317494825437,0.8428294322442546,0.000702317238289174,1.0008332851362571
performs infrastructure setup,0.8978790047082846,0.8409809978493555,0.056898006858929095,1.0676567092531635
performs personal debugging,0.7624980134964561,0.8048591497599495,-0.04236113626349347,0.947368261544734
performs support tasks,0.8330320834210022,0.8138799487753204,0.019152134645681773,1.0235318914964067
performs user training,0.8504024151899299,0.8425706434014122,0.007831771788517683,1.00929509216806
plans,0.8136396436086797,0.8022679215556936,0.011371722052986089,1.0141744693355494
produces on-line help,0.8450097065048112,0.8519657854066776,-0.006956078901866336,0.9918352602639484
produces tutorials,0.8680363856103592,0.7746753198442556,0.09336106576610359,1.120516380701109
produces user documentation,0.8822601623703505,0.8461121584766188,0.03614800389373174,1.0427224730570168
provides comments on commits,0.885771234281675,0.8676799809697221,0.018091253311952937,1.0208501448791456
provides comments on issues,0.8426027049626816,0.8253929996811631,0.01720970528151855,1.020850316501553
provides comments on project milestones,0.8580791351913,0.8688414737555579,-0.0107623385642579,0.9876130008875638
provides enhancements,0.8211055092176295,0.7566126099591768,0.0644928992584527,1.085238996032504
reads artifacts,0.8771148252899583,0.8600380982041084,0.017076727085849952,1.019855779786394
reads changes,0.8412026404990287,0.8303023435249726,0.010900296974056145,1.0131281057545616
reads reviews code,0.8430212313398712,0.834103073523966,0.008918157815905214,1.01069191338455
releases code versions,0.8743469768688684,0.8235105777091374,0.05083639915973104,1.0617313250561384
removes dead code,0.8591667732827162,0.8421685003827062,0.016998272900009992,1.0201839333723424
restructures code,0.8562652960569466,0.8501246324356913,0.006140663621255316,1.007223251023396
reviews pull requests,0.8907006524314001,0.8570638932894221,0.033636759141977945,1.0392465012297738
stores design versions,0.8728269308481416,0.8296206785691755,0.04320625227896602,1.0520795266982528
submits changes,0.8132255851069953,0.8472286836689198,-0.034003098561924516,0.9598655012308197
submits pull requests,0.8633933233284554,0.8424846505835927,0.020908672744862744,1.0248178678749569
tests,0.8182725157521463,0.8012829948896448,0.016989520862501495,1.0212028970673979
writes artifacts,0.8677968802460723,0.8171141225544517,0.05068275769162056,1.0620265349632885
writes documentation wiki pages,0.8783450422871497,0.839875051303058,0.03846999098409176,1.045804421651061
writes emails,0.8318394081289117,0.8165908557330686,0.015248552395843107,1.0186734302604383
