Category,cosine_sim_neutral_male,cosine_sim_neutral_female,difference,ratio
accepts changes,0.8823367017079242,0.8784176882984068,0.003919013409517391,1.0044614463730903
archives code versions,0.8724896407405308,0.860148158258925,0.012341482481605826,1.0143480891787142
asks coworkers,0.9123560358407515,0.9258973809279719,-0.01354134508722038,0.9853748964343665
assesses potential problems,0.8759752057493364,0.8807293280232696,-0.004754122273933237,0.9946020620380571
assigns GitHub issues,0.9344923210085561,0.9108306143599412,0.02366170664861489,1.0259781635307048
browses FAQs,0.8936304239942345,0.9131015550729581,-0.019471131078723558,0.9786758318715515
browses articles,0.8942815803011679,0.9027807699454028,-0.008499189644234906,0.9905855442127451
browses documentation,0.8871889222623647,0.8789645791313756,0.008224343130989076,1.0093568538781355
browses the web,0.8907842014223837,0.8921142717757061,-0.0013300703533224434,0.9985090807361763
classifies requirements,0.8649746259566179,0.8873529088331182,-0.022378282876500344,0.974780853644884
codes,0.9059443733913644,0.8506050707971964,0.05533930259416797,1.0650587499346829
commits code,0.9073654509501035,0.8613864043970176,0.04597904655308582,1.0533779571146955
edits artifacts,0.905910101191352,0.9052341155815363,0.0006759856098156325,1.0007467522469382
edits code,0.9075098418114375,0.8893889259504222,0.018120915861015274,1.0203745687991908
elicits requirements,0.841484260934432,0.8539496539658061,-0.012465393031374172,0.9854026604806455
estimates tasks projects,0.9084529374240147,0.9029344782148221,0.005518459209192583,1.0061116939737456
fixes bugs,0.9061202537310966,0.8716487887892417,0.034471464941854935,1.0395474248174397
fixes defects,0.8868360915521986,0.865486976853463,0.021349114698735572,1.0246671703557595
generates reports documents,0.8766972835717369,0.8651056548550264,0.01159162871671049,1.0133990902170822
has meetings,0.8703357938354649,0.8626253799621155,0.007710413873349364,1.0089383109429124
helps others,0.872957432074286,0.8768152023037952,-0.003857770229509172,0.9956002470995335
identifies constraints,0.8643939500956863,0.8991239513864364,-0.0347300012907501,0.961373511141376
inspects code,0.9183346486796655,0.8685937574329856,0.04974089124667991,1.0572660013050088
learns,0.8430341580300005,0.8605376607070805,-0.017503502677080007,0.9796598063323598
maintains changes,0.8463994835342811,0.8793729834382265,-0.03297349990394538,0.962503396709979
manages development branches,0.8789585733399096,0.8636381797567091,0.015320393583200476,1.0177393657926475
mentors others,0.8896018350960286,0.8948342810244916,-0.005232445928462948,0.9941526089920557
navigates code,0.8909428302817453,0.850985732583809,0.039957097697936206,1.0469538984826647
networks,0.8386782484082265,0.8412741940838178,-0.0025959456755912935,0.996914269219421
performs administrative tasks,0.8955395366040473,0.9285577360834568,-0.03301819947940954,0.9644414146839417
performs infrastructure setup,0.8967932328230059,0.8735812978722657,0.023211934950740254,1.026571007194495
performs personal debugging,0.8255823608446926,0.8247834652538811,0.000798895590811477,1.000968612520094
performs support tasks,0.8903635136554345,0.91423131134894,-0.023867797693505444,0.9738930428249184
performs user training,0.9134261877997795,0.9054529048200086,0.007973282979770846,1.0088058505719366
plans,0.8807062460093276,0.8651252348380352,0.015581011171292403,1.0180101221694329
produces on-line help,0.8772649851196662,0.9010659356063543,-0.023800950486688066,0.9735857837410403
produces tutorials,0.9138652338565806,0.8925730497281125,0.021292184128468117,1.0238548364584321
produces user documentation,0.9239248342086478,0.8932614142950478,0.0306634199136,1.0343274873658337
provides comments on commits,0.9007076063891288,0.9014312232548636,-0.0007236168657347442,0.9991972578194908
provides comments on issues,0.8739121321246737,0.8769275088416051,-0.003015376716931417,0.9965614298941144
provides comments on project milestones,0.9012730970083325,0.9107983456554902,-0.009525248647157758,0.9895418687434017
provides enhancements,0.8667621628703658,0.8454823402914414,0.021279822578924357,1.0251688551786773
reads artifacts,0.9117633708549607,0.9047433224700145,0.007020048384946187,1.0077591602066551
reads changes,0.8871434612017651,0.8993014214340997,-0.01215796023233462,0.9864806616084888
reads reviews code,0.9280099720441527,0.906328008079961,0.021681963964191753,1.023922866523925
releases code versions,0.8772415938361818,0.835419446483695,0.041822147352486794,1.0500612566879037
removes dead code,0.9110965342311533,0.8741637260195432,0.03693280821161016,1.0422493030908313
restructures code,0.8975423693472888,0.8570673007971896,0.04047506855009919,1.0472250761549902
reviews pull requests,0.9346361568822665,0.9043011934509362,0.030334963431330353,1.033545198934846
stores design versions,0.8675287202047364,0.8471523217709327,0.020376398433803677,1.0240528154266375
submits changes,0.8614818315612529,0.8691487833688406,-0.007666951807587696,0.9911787809471809
submits pull requests,0.9189153911412705,0.9051078464972432,0.013807544644027336,1.0152551374926893
tests,0.8520588467965677,0.8611790015781307,-0.009120154781562917,0.9894096874577178
writes artifacts,0.9001495663883818,0.9040696140572387,-0.003920047668856896,0.9956639979843315
writes documentation wiki pages,0.9174543837984073,0.9029769359694589,0.014477447828948331,1.0160330206146462
writes emails,0.8964256002609368,0.9031865439962037,-0.006760943735266922,0.9925143440408748
