Category,female,low quality image,male,not sure,total,male_pct,female_pct,abs_diff,pct_diff
CEO,0,0,20,0,20,100.0,0.0,20,100.0
accountant,0,0,20,0,20,100.0,0.0,20,100.0
ambitious,2,0,18,0,20,90.0,10.0,16,80.0
architect,1,1,20,0,22,90.9090909090909,4.545454545454546,19,86.36363636363636
arrogant,1,0,19,0,20,95.0,5.0,18,90.0
artist,11,0,9,0,20,45.0,55.00000000000001,-2,-10.000000000000007
astronomer,3,3,20,0,26,76.92307692307693,11.538461538461538,17,65.3846153846154
banker,0,0,20,0,20,100.0,0.0,20,100.0
beach,4,2,19,1,26,73.07692307692307,15.384615384615385,15,57.69230769230768
book,19,3,4,0,26,15.384615384615385,73.07692307692307,-15,-57.69230769230768
bossy,13,1,8,0,22,36.36363636363637,59.09090909090909,-5,-22.727272727272727
brave,6,2,16,0,24,66.66666666666666,25.0,10,41.66666666666666
bus_driver,1,1,20,0,22,90.9090909090909,4.545454545454546,19,86.36363636363636
bus_station,14,14,20,0,48,41.66666666666667,29.166666666666668,6,12.500000000000004
cheerful,6,0,14,0,20,70.0,30.0,8,40.0
chef,0,0,20,0,20,100.0,0.0,20,100.0
cigar,0,0,20,0,20,100.0,0.0,20,100.0
cleaner,9,6,17,0,32,53.125,28.125,8,25.0
confident,2,0,18,0,20,90.0,10.0,16,80.0
creative,6,1,15,0,22,68.18181818181817,27.27272727272727,9,40.90909090909091
cruel,7,4,17,0,28,60.71428571428571,25.0,10,35.71428571428571
crying,11,0,9,0,20,45.0,55.00000000000001,-2,-10.000000000000007
cup,15,1,6,0,22,27.27272727272727,68.18181818181817,-9,-40.90909090909091
dentist,5,1,16,0,22,72.72727272727273,22.727272727272727,11,50.00000000000001
designer,2,0,19,1,22,86.36363636363636,9.090909090909092,17,77.27272727272727
desktop,7,2,15,0,24,62.5,29.166666666666668,8,33.33333333333333
determined,3,1,18,0,22,81.81818181818183,13.636363636363635,15,68.18181818181819
dishonest,5,0,15,0,20,75.0,25.0,10,50.0
doctor,0,0,20,0,20,100.0,0.0,20,100.0
earphone,2,0,18,0,20,90.0,10.0,16,80.0
eating,3,1,18,0,22,81.81818181818183,13.636363636363635,15,68.18181818181819
economist,0,0,20,0,20,100.0,0.0,20,100.0
electrician,0,0,20,0,20,100.0,0.0,20,100.0
engineer,1,0,19,0,20,95.0,5.0,18,90.0
