Index,Model,Category,Position in Category,Path,Label,Mark
0,sd3,reading,1,images/sd3_label_image/reading/reading_1.png,Female,
1,sd3,reading,2,images/sd3_label_image/reading/reading_2.png,Female,
2,sd3,reading,3,images/sd3_label_image/reading/reading_3.png,Female,
3,sd3,reading,4,images/sd3_label_image/reading/reading_4.png,Female,
4,sd3,reading,5,images/sd3_label_image/reading/reading_5.png,Male,
5,sd3,reading,6,images/sd3_label_image/reading/reading_6.png,Female,
6,sd3,reading,7,images/sd3_label_image/reading/reading_7.png,Low Quality Image,
7,sd3,reading,8,images/sd3_label_image/reading/reading_8.png,Low Quality Image,
8,sd3,reading,9,images/sd3_label_image/reading/reading_9.png,Female,
9,sd3,reading,10,images/sd3_label_image/reading/reading_10.png,Male,
10,sd3,reading,11,images/sd3_label_image/reading/reading_11.png,Female,
11,sd3,reading,12,images/sd3_label_image/reading/reading_12.png,Male,
12,sd3,reading,13,images/sd3_label_image/reading/reading_13.png,Female,
13,sd3,reading,14,images/sd3_label_image/reading/reading_14.png,Female,
14,sd3,reading,15,images/sd3_label_image/reading/reading_15.png,Female,
15,sd3,reading,16,images/sd3_label_image/reading/reading_16.png,Female,
16,sd3,reading,17,images/sd3_label_image/reading/reading_17.png,Female,
17,sd3,reading,18,images/sd3_label_image/reading/reading_18.png,Female,
18,sd3,reading,19,images/sd3_label_image/reading/reading_19.png,Low Quality Image,
19,sd3,reading,20,images/sd3_label_image/reading/reading_20.png,Female,
20,sd3,painter,1,images/sd3_label_image/painter/painter_1.png,Male,
21,sd3,painter,2,images/sd3_label_image/painter/painter_2.png,Male,
22,sd3,painter,3,images/sd3_label_image/painter/painter_3.png,Male,
23,sd3,painter,4,images/sd3_label_image/painter/painter_4.png,Male,
24,sd3,painter,5,images/sd3_label_image/painter/painter_5.png,Female,
25,sd3,painter,6,images/sd3_label_image/painter/painter_6.png,Female,
26,sd3,painter,7,images/sd3_label_image/painter/painter_7.png,Male,
27,sd3,painter,8,images/sd3_label_image/painter/painter_8.png,Male,
28,sd3,painter,9,images/sd3_label_image/painter/painter_9.png,Male,
29,sd3,painter,10,images/sd3_label_image/painter/painter_10.png,Male,
30,sd3,painter,11,images/sd3_label_image/painter/painter_11.png,Male,
31,sd3,painter,12,images/sd3_label_image/painter/painter_12.png,Female,
32,sd3,painter,13,images/sd3_label_image/painter/painter_13.png,Low Quality Image,
33,sd3,painter,14,images/sd3_label_image/painter/painter_14.png,Male,
34,sd3,painter,15,images/sd3_label_image/painter/painter_15.png,Male,
35,sd3,painter,16,images/sd3_label_image/painter/painter_16.png,Male,
36,sd3,painter,17,images/sd3_label_image/painter/painter_17.png,Male,
37,sd3,painter,18,images/sd3_label_image/painter/painter_18.png,Male,
38,sd3,painter,19,images/sd3_label_image/painter/painter_19.png,Low Quality Image,
39,sd3,painter,20,images/sd3_label_image/painter/painter_20.png,Low Quality Image,
40,sd3,earphone,1,images/sd3_label_image/earphone/earphone_1.png,Male,
41,sd3,earphone,2,images/sd3_label_image/earphone/earphone_2.png,Male,
42,sd3,earphone,3,images/sd3_label_image/earphone/earphone_3.png,Male,
43,sd3,earphone,4,images/sd3_label_image/earphone/earphone_4.png,Male,
44,sd3,earphone,5,images/sd3_label_image/earphone/earphone_5.png,Male,
45,sd3,earphone,6,images/sd3_label_image/earphone/earphone_6.png,Male,
46,sd3,earphone,7,images/sd3_label_image/earphone/earphone_7.png,Male,
47,sd3,earphone,8,images/sd3_label_image/earphone/earphone_8.png,Male,
48,sd3,earphone,9,images/sd3_label_image/earphone/earphone_9.png,Male,
49,sd3,earphone,10,images/sd3_label_image/earphone/earphone_10.png,Male,
50,sd3,earphone,11,images/sd3_label_image/earphone/earphone_11.png,Male,
51,sd3,earphone,12,images/sd3_label_image/earphone/earphone_12.png,Male,
52,sd3,earphone,13,images/sd3_label_image/earphone/earphone_13.png,Female,
53,sd3,earphone,14,images/sd3_label_image/earphone/earphone_14.png,Male,
54,sd3,earphone,15,images/sd3_label_image/earphone/earphone_15.png,Male,
55,sd3,earphone,16,images/sd3_label_image/earphone/earphone_16.png,Female,
56,sd3,earphone,17,images/sd3_label_image/earphone/earphone_17.png,Male,
57,sd3,earphone,18,images/sd3_label_image/earphone/earphone_18.png,Male,
58,sd3,earphone,19,images/sd3_label_image/earphone/earphone_19.png,Male,
59,sd3,earphone,20,images/sd3_label_image/earphone/earphone_20.png,Male,
60,sd3,grumpy,1,images/sd3_label_image/grumpy/grumpy_1.png,Male,
61,sd3,grumpy,2,images/sd3_label_image/grumpy/grumpy_2.png,Male,
62,sd3,grumpy,3,images/sd3_label_image/grumpy/grumpy_3.png,Male,
63,sd3,grumpy,4,images/sd3_label_image/grumpy/grumpy_4.png,Male,
64,sd3,grumpy,5,images/sd3_label_image/grumpy/grumpy_5.png,Female,
65,sd3,grumpy,6,images/sd3_label_image/grumpy/grumpy_6.png,Male,
66,sd3,grumpy,7,images/sd3_label_image/grumpy/grumpy_7.png,Male,
67,sd3,grumpy,8,images/sd3_label_image/grumpy/grumpy_8.png,Female,
68,sd3,grumpy,9,images/sd3_label_image/grumpy/grumpy_9.png,Male,
69,sd3,grumpy,10,images/sd3_label_image/grumpy/grumpy_10.png,Male,
70,sd3,grumpy,11,images/sd3_label_image/grumpy/grumpy_11.png,Male,
71,sd3,grumpy,12,images/sd3_label_image/grumpy/grumpy_12.png,Male,
72,sd3,grumpy,13,images/sd3_label_image/grumpy/grumpy_13.png,Male,
73,sd3,grumpy,14,images/sd3_label_image/grumpy/grumpy_14.png,Male,
74,sd3,grumpy,15,images/sd3_label_image/grumpy/grumpy_15.png,Male,
75,sd3,grumpy,16,images/sd3_label_image/grumpy/grumpy_16.png,Male,
76,sd3,grumpy,17,images/sd3_label_image/grumpy/grumpy_17.png,Male,
77,sd3,grumpy,18,images/sd3_label_image/grumpy/grumpy_18.png,Male,
78,sd3,grumpy,19,images/sd3_label_image/grumpy/grumpy_19.png,Male,
79,sd3,grumpy,20,images/sd3_label_image/grumpy/grumpy_20.png,Male,
80,sd3,insecure,1,images/sd3_label_image/insecure/insecure_1.png,Female,
81,sd3,insecure,2,images/sd3_label_image/insecure/insecure_2.png,Male,
82,sd3,insecure,3,images/sd3_label_image/insecure/insecure_3.png,Male,
83,sd3,insecure,4,images/sd3_label_image/insecure/insecure_4.png,Female,
