feature,importance
scalars__x2059,0.16231239
emb2__pca12,0.13005157
emb2__pca1,0.11575582
emb1__pca6,0.055832572
emb1__pca14,0.047103487
scalars__x2057,0.03692525
emb1__pca23,0.036048107
emb1__pca2,0.03209451
emb2__pca20,0.026849769
emb1__pca0,0.022714298
emb1__pca20,0.01711281
emb1__pca28,0.01654791
emb1__pca17,0.016524259
emb1__pca3,0.01630947
emb2__pca2,0.015135241
emb1__pca22,0.014375148
emb2__pca26,0.013778739
emb1__pca4,0.013638398
emb2__pca15,0.013579635
scalars__x2056,0.0131116975
scalars__x2058,0.012571277
scalars__x2055,0.0093483655
emb2__pca0,0.009337915
emb1__pca21,0.009280786
emb1__pca5,0.008536339
emb2__pca8,0.008211809
emb1__pca27,0.007899255
emb1__pca15,0.0077777025
scalars__x2054,0.0077608656
emb2__pca13,0.0072160186
emb2__pca5,0.0062076543
emb1__pca8,0.0056183347
emb2__pca17,0.005413765
emb1__pca25,0.0051037725
emb2__pca22,0.0049086264
emb1__pca19,0.004890113
emb2__pca9,0.004778813
emb1__pca16,0.004637916
emb2__pca28,0.0043479647
emb2__pca24,0.003930745
emb1__pca10,0.003514064
emb1__pca13,0.003229277
scalars__x2050,0.003195728
scalars__x2049,0.002955525
emb2__pca27,0.0028365538
emb2__pca10,0.0028122866
emb1__pca7,0.0025968496
emb1__pca12,0.0022261469
emb2__pca23,0.00201252
emb2__pca18,0.0018947773
emb1__pca26,0.0017427349
emb2__pca4,0.0016660165
emb2__pca6,0.0015408897
emb1__pca11,0.0015235129
scalars__x2053,0.0014707302
emb2__pca7,0.0014658445
emb1__pca1,0.0014387817
scalars__x2051,0.0012768608
emb1__pca24,0.0012342387
emb2__pca11,0.0011052026
emb2__pca29,0.00073783693
emb2__pca25,0.0006348367
emb2__pca19,0.00061332906
emb2__pca3,0.0005080569
emb1__pca18,0.00050122663
emb2__pca14,0.00042659458
emb2__pca16,0.00036055362
scalars__x2048,0.00028514917
emb2__pca21,0.00026570258
emb1__pca29,0.00026044235
emb1__pca9,7.797292e-05
scalars__x2052,1.0600847e-05
