repeat,chosen_model,chosen_params,n_selected_features,selected_features
1,SVR,"{'fs__k': 40, 'fs__score_func': <function f_regression at 0x11af47100>, 'model': SVR(C=5.0), 'model__C': 5.0, 'model__epsilon': 0.1, 'model__kernel': 'rbf', 'prep__ct__emb1__pca__n_components': 30, 'prep__ct__emb2__pca__n_components': 30}",40,emb1__pca0;emb1__pca1;emb1__pca2;emb1__pca3;emb1__pca4;emb1__pca6;emb1__pca7;emb1__pca9;emb1__pca11;emb1__pca13;emb1__pca14;emb1__pca15;emb1__pca19;emb1__pca21;emb1__pca24;emb1__pca27;emb1__pca29;emb2__pca1;emb2__pca2;emb2__pca3;emb2__pca5;emb2__pca6;emb2__pca8;emb2__pca10;emb2__pca12;emb2__pca15;emb2__pca16;emb2__pca18;emb2__pca19;emb2__pca20;emb2__pca21;emb2__pca23;emb2__pca29;scalars__x2050;scalars__x2054;scalars__x2055;scalars__x2056;scalars__x2057;scalars__x2058;scalars__x2059
2,SVR,"{'fs__k': 40, 'fs__score_func': <function f_regression at 0x11af47100>, 'model': SVR(C=5.0), 'model__C': 5.0, 'model__epsilon': 0.1, 'model__kernel': 'rbf', 'prep__ct__emb1__pca__n_components': 30, 'prep__ct__emb2__pca__n_components': 30}",40,emb1__pca0;emb1__pca2;emb1__pca3;emb1__pca4;emb1__pca6;emb1__pca8;emb1__pca9;emb1__pca10;emb1__pca13;emb1__pca15;emb1__pca16;emb1__pca17;emb1__pca22;emb1__pca27;emb2__pca0;emb2__pca1;emb2__pca2;emb2__pca3;emb2__pca4;emb2__pca5;emb2__pca7;emb2__pca8;emb2__pca9;emb2__pca11;emb2__pca13;emb2__pca17;emb2__pca19;emb2__pca24;emb2__pca25;emb2__pca26;emb2__pca29;scalars__x2049;scalars__x2050;scalars__x2053;scalars__x2054;scalars__x2055;scalars__x2056;scalars__x2057;scalars__x2058;scalars__x2059
3,SVR,"{'fs__k': 40, 'fs__score_func': <function f_regression at 0x11af47100>, 'model': SVR(C=5.0), 'model__C': 5.0, 'model__epsilon': 0.1, 'model__kernel': 'rbf', 'prep__ct__emb1__pca__n_components': 30, 'prep__ct__emb2__pca__n_components': 30}",40,emb1__pca0;emb1__pca1;emb1__pca2;emb1__pca3;emb1__pca4;emb1__pca5;emb1__pca6;emb1__pca7;emb1__pca8;emb1__pca9;emb1__pca10;emb1__pca12;emb1__pca14;emb1__pca16;emb1__pca24;emb1__pca26;emb1__pca27;emb1__pca29;emb2__pca1;emb2__pca2;emb2__pca3;emb2__pca4;emb2__pca5;emb2__pca6;emb2__pca9;emb2__pca10;emb2__pca14;emb2__pca15;emb2__pca16;emb2__pca20;emb2__pca25;emb2__pca26;emb2__pca28;scalars__x2050;scalars__x2054;scalars__x2055;scalars__x2056;scalars__x2057;scalars__x2058;scalars__x2059
4,XGBRegressor,"{'fs__k': 40, 'fs__score_func': <function f_regression at 0x11af47100>, 'model': XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             feature_weights=None, gamma=None, grow_policy=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=0.05, max_bin=None, max_cat_threshold=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=3,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, multi_strategy=None, n_estimators=300,
             n_jobs=4, num_parallel_tree=None, ...), 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'prep__ct__emb1__pca__n_components': 30, 'prep__ct__emb2__pca__n_components': 30}",40,emb1__pca0;emb1__pca1;emb1__pca2;emb1__pca3;emb1__pca4;emb1__pca5;emb1__pca6;emb1__pca9;emb1__pca10;emb1__pca12;emb1__pca13;emb1__pca14;emb1__pca16;emb1__pca19;emb1__pca22;emb1__pca26;emb1__pca28;emb2__pca0;emb2__pca1;emb2__pca2;emb2__pca3;emb2__pca4;emb2__pca5;emb2__pca7;emb2__pca8;emb2__pca9;emb2__pca11;emb2__pca13;emb2__pca16;emb2__pca19;emb2__pca23;emb2__pca24;emb2__pca29;scalars__x2050;scalars__x2054;scalars__x2055;scalars__x2056;scalars__x2057;scalars__x2058;scalars__x2059
5,SVR,"{'fs__k': 40, 'fs__score_func': <function f_regression at 0x11af47100>, 'model': SVR(C=5.0), 'model__C': 5.0, 'model__epsilon': 0.1, 'model__kernel': 'rbf', 'prep__ct__emb1__pca__n_components': 30, 'prep__ct__emb2__pca__n_components': 30}",40,emb1__pca0;emb1__pca1;emb1__pca2;emb1__pca3;emb1__pca4;emb1__pca5;emb1__pca6;emb1__pca9;emb1__pca10;emb1__pca11;emb1__pca14;emb1__pca15;emb1__pca17;emb1__pca19;emb1__pca21;emb1__pca22;emb1__pca28;emb2__pca1;emb2__pca2;emb2__pca3;emb2__pca4;emb2__pca6;emb2__pca8;emb2__pca9;emb2__pca10;emb2__pca12;emb2__pca17;emb2__pca18;emb2__pca19;emb2__pca24;emb2__pca25;emb2__pca27;emb2__pca28;scalars__x2050;scalars__x2054;scalars__x2055;scalars__x2056;scalars__x2057;scalars__x2058;scalars__x2059
6,Ridge,"{'fs__k': 40, 'fs__score_func': <function f_regression at 0x11af47100>, 'model': Ridge(alpha=10.0, random_state=42), 'model__alpha': 10.0, 'prep__ct__emb1__pca__n_components': 30, 'prep__ct__emb2__pca__n_components': 30}",40,emb1__pca0;emb1__pca1;emb1__pca2;emb1__pca3;emb1__pca6;emb1__pca9;emb1__pca10;emb1__pca11;emb1__pca13;emb1__pca14;emb1__pca15;emb1__pca16;emb1__pca17;emb1__pca19;emb1__pca25;emb2__pca1;emb2__pca2;emb2__pca3;emb2__pca4;emb2__pca5;emb2__pca6;emb2__pca7;emb2__pca8;emb2__pca10;emb2__pca14;emb2__pca16;emb2__pca17;emb2__pca18;emb2__pca19;emb2__pca20;emb2__pca22;emb2__pca24;emb2__pca25;scalars__x2050;scalars__x2054;scalars__x2055;scalars__x2056;scalars__x2057;scalars__x2058;scalars__x2059
7,SVR,"{'fs__k': 40, 'fs__score_func': <function f_regression at 0x11af47100>, 'model': SVR(C=5.0), 'model__C': 5.0, 'model__epsilon': 0.1, 'model__kernel': 'rbf', 'prep__ct__emb1__pca__n_components': 30, 'prep__ct__emb2__pca__n_components': 30}",40,emb1__pca1;emb1__pca2;emb1__pca3;emb1__pca4;emb1__pca6;emb1__pca9;emb1__pca10;emb1__pca12;emb1__pca13;emb1__pca14;emb1__pca16;emb1__pca20;emb1__pca23;emb1__pca27;emb2__pca1;emb2__pca2;emb2__pca3;emb2__pca4;emb2__pca6;emb2__pca9;emb2__pca10;emb2__pca11;emb2__pca13;emb2__pca14;emb2__pca15;emb2__pca17;emb2__pca18;emb2__pca19;emb2__pca20;emb2__pca21;emb2__pca23;emb2__pca25;emb2__pca29;scalars__x2050;scalars__x2054;scalars__x2055;scalars__x2056;scalars__x2057;scalars__x2058;scalars__x2059
8,SVR,"{'fs__k': 40, 'fs__score_func': <function f_regression at 0x11af47100>, 'model': SVR(), 'model__C': 1.0, 'model__epsilon': 0.1, 'model__kernel': 'rbf', 'prep__ct__emb1__pca__n_components': 30, 'prep__ct__emb2__pca__n_components': 30}",40,emb1__pca0;emb1__pca1;emb1__pca2;emb1__pca3;emb1__pca4;emb1__pca5;emb1__pca7;emb1__pca8;emb1__pca9;emb1__pca10;emb1__pca12;emb1__pca15;emb1__pca17;emb1__pca21;emb1__pca24;emb1__pca27;emb2__pca0;emb2__pca1;emb2__pca2;emb2__pca3;emb2__pca5;emb2__pca6;emb2__pca9;emb2__pca10;emb2__pca12;emb2__pca14;emb2__pca16;emb2__pca17;emb2__pca19;emb2__pca23;emb2__pca25;emb2__pca29;scalars__x2050;scalars__x2051;scalars__x2054;scalars__x2055;scalars__x2056;scalars__x2057;scalars__x2058;scalars__x2059
9,SVR,"{'fs__k': 40, 'fs__score_func': <function f_regression at 0x11af47100>, 'model': SVR(C=5.0), 'model__C': 5.0, 'model__epsilon': 0.1, 'model__kernel': 'rbf', 'prep__ct__emb1__pca__n_components': 30, 'prep__ct__emb2__pca__n_components': 30}",40,emb1__pca0;emb1__pca1;emb1__pca2;emb1__pca3;emb1__pca4;emb1__pca6;emb1__pca7;emb1__pca8;emb1__pca10;emb1__pca13;emb1__pca14;emb1__pca15;emb1__pca17;emb1__pca20;emb1__pca21;emb1__pca25;emb1__pca26;emb1__pca27;emb2__pca0;emb2__pca1;emb2__pca2;emb2__pca3;emb2__pca6;emb2__pca10;emb2__pca12;emb2__pca14;emb2__pca16;emb2__pca17;emb2__pca20;emb2__pca23;emb2__pca24;scalars__x2049;scalars__x2050;scalars__x2051;scalars__x2054;scalars__x2055;scalars__x2056;scalars__x2057;scalars__x2058;scalars__x2059
10,SVR,"{'fs__k': 40, 'fs__score_func': <function f_regression at 0x11af47100>, 'model': SVR(), 'model__C': 1.0, 'model__epsilon': 0.1, 'model__kernel': 'rbf', 'prep__ct__emb1__pca__n_components': 30, 'prep__ct__emb2__pca__n_components': 30}",40,emb1__pca0;emb1__pca1;emb1__pca2;emb1__pca3;emb1__pca4;emb1__pca6;emb1__pca7;emb1__pca9;emb1__pca14;emb1__pca15;emb1__pca16;emb1__pca17;emb1__pca22;emb1__pca24;emb1__pca27;emb2__pca1;emb2__pca2;emb2__pca3;emb2__pca4;emb2__pca6;emb2__pca8;emb2__pca9;emb2__pca11;emb2__pca12;emb2__pca13;emb2__pca14;emb2__pca18;emb2__pca20;emb2__pca26;emb2__pca27;scalars__x2049;scalars__x2050;scalars__x2051;scalars__x2053;scalars__x2054;scalars__x2055;scalars__x2056;scalars__x2057;scalars__x2058;scalars__x2059
