,gen,nevals,avg,std,min,max
0,0,30,[0.92076176],[0.05462374],[0.75819486],[0.9892303]
1,1,5,[0.7411412],[0.],[0.7411412],[0.7411412]
2,2,5,[0.6483302],[0.07397565],[0.58792937],[0.73893154]
3,3,5,[0.7573678],[0.00512865],[0.7548035],[0.7676251]
4,4,5,[0.6954429],[0.06037628],[0.64614594],[0.7693885]
5,5,5,[0.8953646],[0.02222211],[0.86814815],[0.91350883]
6,6,5,[0.82208],[0.03568595],[0.7813051],[0.8727217]
7,7,5,[0.7958302],[0.00407777],[0.79379135],[0.8039858]
8,8,5,[0.7907791],[0.0299896],[0.7757844],[0.8507584]
9,9,5,[0.62882096],[0.07427518],[0.5916833],[0.7773713]
10,10,5,[0.4606007],[0.16887353],[0.32271606],[0.6674277]
11,11,5,[0.6453713],[0.01102819],[0.63985723],[0.6674277]
12,12,5,[0.6381694],[0.06988141],[0.58111143],[0.72375625]
13,13,5,[0.6739855],[0.03609013],[0.63266253],[0.7249226]
14,14,5,[0.4539887],[0.],[0.4539887],[0.4539887]
15,15,5,[0.4539887],[0.],[0.4539887],[0.4539887]
16,16,5,[0.31761423],[0.06818724],[0.2835206],[0.4539887]
17,17,5,[0.33438033],[0.05782719],[0.30546674],[0.4500347]
18,18,5,[0.46268383],[0.16628057],[0.3795435],[0.79524493]
19,19,5,[0.45769125],[0.15629543],[0.3795435],[0.7702821]
20,20,5,[0.43855038],[0.03867316],[0.4069739],[0.48591515]
21,21,5,[0.43646973],[0.15762305],[0.3576582],[0.75171584]
22,22,5,[0.76171094],[0.00811837],[0.7576517],[0.7779476]
23,23,5,[0.6868057],[0.1026543],[0.6039215],[0.83527726]
24,24,5,[0.5903638],[0.],[0.5903638],[0.5903638]
25,25,5,[0.6195669],[0.05840626],[0.5903638],[0.73637944]
