,gen,nevals,avg,std,min,max
0,0,30,[0.9846586],[0.05090043],[0.8667471],[1.0471108]
1,1,5,[0.9545763],[5.9604645e-08],[0.95457625],[0.95457625]
2,2,5,[0.9030101],[0.03575339],[0.8851333],[0.9745168]
3,3,5,[0.906798],[0.],[0.906798],[0.906798]
4,4,5,[0.89353335],[0.],[0.89353335],[0.89353335]
5,5,5,[0.90856326],[0.03005969],[0.89353335],[0.9686826]
6,6,5,[0.89929265],[0.01151879],[0.89353335],[0.9223303]
7,7,5,[0.8680464],[0.00211179],[0.86546],[0.86977065]
8,8,5,[0.8571512],[0.01017615],[0.844688],[0.86546]
9,9,5,[0.8557935],[0.02221096],[0.844688],[0.9002154]
10,10,5,[0.83673346],[0.01320135],[0.82056516],[0.8475123]
11,11,5,[0.84720117],[0.03262225],[0.82056516],[0.88715506]
12,12,5,[0.8568948],[0.0204286],[0.84021485],[0.88191456]
13,13,5,[0.7399415],[0.08011613],[0.6998834],[0.9001737]
14,14,5,[0.849892],[0.12550578],[0.6998834],[0.9998969]
15,15,5,[0.94307995],[0.03117389],[0.9176266],[0.98126006]
16,16,5,[0.91048205],[0.01067286],[0.9051456],[0.9318277]
17,17,5,[0.90772945],[0.00516768],[0.9051456],[0.9180648]
18,18,5,[0.9350177],[0.01493604],[0.9051456],[0.9424857]
19,19,5,[0.92812806],[0.01758441],[0.90659165],[0.9424857]
20,20,5,[0.9205451],[0.01836555],[0.9055497],[0.9430382]
21,21,5,[0.8785507],[5.9604645e-08],[0.87855077],[0.87855077]
22,22,5,[0.8817503],[0.00639904],[0.87855077],[0.89454836]
23,23,5,[0.83462507],[0.03586514],[0.80534136],[0.87855077]
24,24,5,[0.8797382],[0.06307118],[0.80534136],[0.9448292]
25,25,5,[0.85338223],[0.03260272],[0.81573814],[0.8983295]
