,gen,nevals,avg,std,min,max
0,0,50,[0.93304026],[0.05280903],[0.80087334],[0.99696684]
1,1,5,[0.88399154],[0.02430495],[0.86414665],[0.91375893]
2,2,5,[0.45785028],[0.10619434],[0.40475312],[0.670239]
3,3,5,[0.78842026],[0.],[0.78842026],[0.78842026]
4,4,5,[0.7780876],[0.00338605],[0.7753229],[0.78223467]
5,5,5,[0.79767764],[0.],[0.79767764],[0.79767764]
6,6,5,[0.7521056],[0.02834697],[0.7322866],[0.8049836]
7,7,5,[0.8900212],[0.],[0.8900212],[0.8900212]
8,8,5,[0.8948458],[0.01577418],[0.88695866],[0.9263941]
9,9,5,[0.9114391],[0.08141147],[0.81391263],[0.99290216]
10,10,5,[0.8133138],[0.0432368],[0.79169536],[0.89978737]
11,11,5,[0.7890087],[0.],[0.7890087],[0.7890087]
12,12,5,[0.7828823],[0.05388688],[0.7388838],[0.84887993]
13,13,5,[0.32099226],[0.],[0.32099226],[0.32099226]
14,14,5,[0.68455917],[0.00454974],[0.6808443],[0.6901314]
15,15,5,[0.66215014],[0.0709457],[0.62667733],[0.80404156]
16,16,5,[0.6899376],[0.0958765],[0.57251334],[0.7682204]
17,17,5,[0.7735736],[0.00416999],[0.7714886],[0.7819136]
18,18,5,[0.61769474],[0.01619606],[0.6095967],[0.6500869]
19,19,5,[0.6906093],[0.1545934],[0.50171226],[0.83578074]
20,20,5,[0.82585394],[0.01328656],[0.8102739],[0.8432426]
21,21,5,[0.78695834],[0.11698525],[0.5529879],[0.845451]
22,22,5,[0.7840554],[0.04422214],[0.75527084],[0.87163687]
23,23,5,[0.6916396],[0.13241313],[0.58352476],[0.8538119]
24,24,5,[0.68606293],[0.08505239],[0.6435367],[0.8561677]
25,25,5,[0.78621453],[0.0483532],[0.76203793],[0.8829209]
26,26,5,[0.81857693],[0.04993276],[0.7801891],[0.90275025]
27,27,5,[0.8710963],[0.0306596],[0.85576653],[0.93241554]
28,28,5,[0.87508124],[5.9604645e-08],[0.8750813],[0.8750813]
29,29,5,[0.76869714],[0.04380433],[0.73539704],[0.8554822]
30,30,5,[0.81748503],[0.01917959],[0.8018249],[0.8409751]
