,gen,nevals,avg,std,min,max
0,0,50,[0.92523],[0.05783442],[0.7679473],[1.0011702]
1,1,5,[0.8861901],[0.00918319],[0.8815986],[0.9045566]
2,2,5,[0.8815986],[0.],[0.8815986],[0.8815986]
3,3,5,[0.8815986],[0.],[0.8815986],[0.8815986]
4,4,5,[0.8815986],[0.],[0.8815986],[0.8815986]
5,5,5,[0.8815986],[0.],[0.8815986],[0.8815986]
6,6,5,[0.8815986],[0.],[0.8815986],[0.8815986]
7,7,5,[0.8815986],[0.],[0.8815986],[0.8815986]
8,8,5,[0.75587875],[0.09682201],[0.64211464],[0.8815986]
9,9,5,[0.70995104],[0.07752631],[0.6150011],[0.773251]
10,10,5,[0.70995104],[0.07752631],[0.6150011],[0.773251]
11,11,5,[0.6131026],[0.],[0.6131026],[0.6131026]
12,12,5,[0.6131026],[0.],[0.6131026],[0.6131026]
13,13,5,[0.6131026],[0.],[0.6131026],[0.6131026]
14,14,5,[0.6131026],[0.],[0.6131026],[0.6131026]
15,15,5,[0.6131026],[0.],[0.6131026],[0.6131026]
16,16,5,[0.6131026],[0.],[0.6131026],[0.6131026]
17,17,5,[0.6131026],[0.],[0.6131026],[0.6131026]
18,18,5,[0.6131026],[0.],[0.6131026],[0.6131026]
19,19,5,[0.6131026],[0.],[0.6131026],[0.6131026]
20,20,5,[0.6131026],[0.],[0.6131026],[0.6131026]
21,21,5,[0.6131026],[0.],[0.6131026],[0.6131026]
22,22,5,[0.6131026],[0.],[0.6131026],[0.6131026]
23,23,5,[0.6131026],[0.],[0.6131026],[0.6131026]
24,24,5,[0.6131026],[0.],[0.6131026],[0.6131026]
25,25,5,[0.6131026],[0.],[0.6131026],[0.6131026]
26,26,5,[0.6131026],[0.],[0.6131026],[0.6131026]
27,27,5,[0.6131026],[0.],[0.6131026],[0.6131026]
28,28,5,[0.6131026],[0.],[0.6131026],[0.6131026]
29,29,5,[0.6131026],[0.],[0.6131026],[0.6131026]
30,30,5,[0.6131026],[0.],[0.6131026],[0.6131026]
