,gen,nevals,avg,std,min,max
0,0,50,[0.9194224],[0.06629913],[0.7129174],[0.99482775]
1,1,5,[0.8326891],[0.04395584],[0.8090518],[0.92044306]
2,2,5,[0.84215796],[0.06324147],[0.79008293],[0.9623461]
3,3,5,[0.7125097],[0.09874106],[0.66313916],[0.9099918]
4,4,5,[0.73351824],[0.05580458],[0.66517186],[0.7790825]
5,5,5,[0.7528318],[0.05250139],[0.647829],[0.7790825]
6,6,5,[0.68088233],[0.03625753],[0.6512782],[0.72528857]
7,7,5,[0.49972454],[0.20275497],[0.3341758],[0.74804765]
8,8,5,[0.5164514],[0.14724943],[0.39622274],[0.6967944]
9,9,5,[0.47812787],[0.16381028],[0.39622274],[0.80574846]
10,10,5,[0.7134367],[0.05730226],[0.643256],[0.76022375]
11,11,5,[0.76803243],[0.0655085],[0.730647],[0.89818585]
12,12,5,[0.7064451],[0.04441269],[0.65257424],[0.75358003]
13,13,5,[0.6365079],[0.],[0.6365079],[0.6365079]
14,14,5,[0.7365634],[0.06158129],[0.6626762],[0.7971026]
15,15,5,[0.80546063],[0.06325074],[0.7548711],[0.9014506]
16,16,5,[0.84593964],[0.0124924],[0.8357396],[0.8612396]
17,17,5,[0.9400962],[0.03926979],[0.8920007],[0.9721598]
18,18,5,[0.86843204],[0.04397326],[0.8464454],[0.9563785]
19,19,5,[0.8624762],[0.01963371],[0.8464454],[0.88652253]
20,20,5,[0.8757225],[0.02402317],[0.8561077],[0.9051448]
21,21,5,[0.82778054],[0.02312906],[0.8088957],[0.8561077]
22,22,5,[0.80455095],[0.],[0.80455095],[0.80455095]
23,23,5,[0.80768806],[0.00627406],[0.80455095],[0.8202361]
24,24,5,[0.548361],[0.21076554],[0.3762717],[0.8064951]
25,25,5,[0.6752528],[0.01377895],[0.66836333],[0.7028107]
26,26,5,[0.5372883],[0.20763685],[0.36775357],[0.7915905]
27,27,5,[0.36775357],[0.],[0.36775357],[0.36775357]
28,28,5,[0.43389004],[0.13227293],[0.36775357],[0.6984359]
29,29,5,[0.7754203],[0.08527046],[0.70579726],[0.87985486]
30,30,5,[0.81036407],[0.0990444],[0.70579726],[0.9717325]
